timestamp,rp2040_uid,x_uT,y_uT,z_uT
2026-09-18T08:09:51,df6470a31b8a2f2e,-1470.000,-392.000,-7154.000
2026-09-18T08:09:52,df6470a31b8a2f2e,-1666.000,-392.000,-7154.000
2026-09-18T08:09:53,df6470a31b8a2f2e,-1470.000,-196.000,-7350.000
2026-09-18T08:09:54,df6470a31b8a2f2e,-1568.000,-196.000,-7252.000
2026-09-18T08:09:55,df6470a31b8a2f2e,-1568.000,-294.000,-7252.000
2026-09-18T08:09:56,df6470a31b8a2f2e,-1568.000,-196.000,-7154.000
2026-09-18T08:09:57,df6470a31b8a2f2e,-1568.000,-98.000,-7448.000
2026-09-18T08:09:58,df6470a31b8a2f2e,-1568.000,-294.000,-7056.000
2026-09-18T08:09:59,df6470a31b8a2f2e,-1568.000,-294.000,-7350.000
2026-09-18T08:10:00,df6470a31b8a2f2e,-1470.000,-294.000,-7448.000
2026-09-18T08:10:01,df6470a31b8a2f2e,-1666.000,-294.000,-7252.000
2026-09-18T08:10:02,df6470a31b8a2f2e,-1568.000,-98.000,-7350.000
2026-09-18T08:10:03,df6470a31b8a2f2e,-1764.000,-196.000,-7350.000
2026-09-18T08:10:04,df6470a31b8a2f2e,-1666.000,-294.000,-7154.000
2026-09-18T08:10:05,df6470a31b8a2f2e,-1568.000,-392.000,-7350.000
2026-09-18T08:10:06,df6470a31b8a2f2e,-1372.000,-294.000,-7154.000
2026-09-18T08:10:07,df6470a31b8a2f2e,-1666.000,-98.000,-7252.000
2026-09-18T08:10:08,df6470a31b8a2f2e,-1666.000,-294.000,-7154.000
2026-09-18T08:10:09,df6470a31b8a2f2e,-1568.000,-98.000,-7252.000
2026-09-18T08:10:10,df6470a31b8a2f2e,-1666.000,-294.000,-7154.000
2026-09-18T08:10:11,df6470a31b8a2f2e,-1666.000,-294.000,-7252.000
2026-09-18T08:10:12,df6470a31b8a2f2e,-1470.000,-196.000,-7154.000
2026-09-18T08:10:13,df6470a31b8a2f2e,-1666.000,-294.000,-7056.000
2026-09-18T08:10:14,df6470a31b8a2f2e,-1568.000,-196.000,-7350.000
2026-09-18T08:10:15,df6470a31b8a2f2e,-1666.000,-294.000,-7448.000
2026-09-18T08:10:16,df6470a31b8a2f2e,-1568.000,-294.000,-7252.000
2026-09-18T08:10:17,df6470a31b8a2f2e,-1470.000,-294.000,-7252.000
2026-09-18T08:10:18,df6470a31b8a2f2e,-1568.000,-294.000,-7252.000
2026-09-18T08:10:19,df6470a31b8a2f2e,-1764.000,-196.000,-7252.000
2026-09-18T08:10:20,df6470a31b8a2f2e,-1372.000,-392.000,-7350.000
2026-09-18T08:10:21,df6470a31b8a2f2e,-1666.000,-196.000,-7056.000
2026-09-18T08:10:22,df6470a31b8a2f2e,-1666.000,-392.000,-7252.000
2026-09-18T08:10:23,df6470a31b8a2f2e,-1666.000,-98.000,-7252.000
2026-09-18T08:10:24,df6470a31b8a2f2e,-1470.000,-392.000,-7154.000
2026-09-18T08:10:25,df6470a31b8a2f2e,-1568.000,-294.000,-7154.000
2026-09-18T08:10:26,df6470a31b8a2f2e,-1470.000,-196.000,-7056.000
2026-09-18T08:10:27,df6470a31b8a2f2e,-1568.000,-294.000,-7350.000
2026-09-18T08:10:28,df6470a31b8a2f2e,-1666.000,-294.000,-7252.000
2026-09-18T08:10:29,df6470a31b8a2f2e,-1666.000,-196.000,-7448.000
2026-09-18T08:10:30,df6470a31b8a2f2e,-1470.000,-294.000,-7252.000
2026-09-18T08:10:31,df6470a31b8a2f2e,-1568.000,-294.000,-7154.000
2026-09-18T08:10:32,df6470a31b8a2f2e,-1666.000,-392.000,-7154.000
2026-09-18T08:10:33,df6470a31b8a2f2e,-1568.000,-294.000,-7350.000
2026-09-18T08:10:34,df6470a31b8a2f2e,-1568.000,-294.000,-7154.000
2026-09-18T08:10:35,df6470a31b8a2f2e,-1470.000,-196.000,-7252.000
2026-09-18T08:10:36,df6470a31b8a2f2e,-1470.000,-392.000,-7252.000
2026-09-18T08:10:37,df6470a31b8a2f2e,-1666.000,-392.000,-7448.000
2026-09-18T08:10:38,df6470a31b8a2f2e,-1568.000,-294.000,-7252.000
2026-09-18T08:10:39,df6470a31b8a2f2e,-1666.000,-294.000,-7056.000
2026-09-18T08:10:40,df6470a31b8a2f2e,-1568.000,-392.000,-7252.000
2026-09-18T08:10:41,df6470a31b8a2f2e,-1568.000,-196.000,-7350.000
2026-09-18T08:10:42,df6470a31b8a2f2e,-1666.000,-294.000,-7154.000
2026-09-18T08:10:43,df6470a31b8a2f2e,-1470.000,-196.000,-7252.000
2026-09-18T08:10:44,df6470a31b8a2f2e,-1470.000,-588.000,-7154.000
2026-09-18T08:11:06,df6470a31b8a2f2e,-1176.000,-196.000,-5880.000
2026-09-18T08:11:07,df6470a31b8a2f2e,-1078.000,-196.000,-5978.000
2026-09-18T08:11:08,df6470a31b8a2f2e,-1078.000,-98.000,-6076.000
2026-09-18T08:11:09,df6470a31b8a2f2e,-1274.000,-196.000,-5978.000
2026-09-18T08:11:10,df6470a31b8a2f2e,-1078.000,-294.000,-5978.000
2026-09-18T08:11:11,df6470a31b8a2f2e,-1078.000,-392.000,-5978.000
2026-09-18T08:11:12,df6470a31b8a2f2e,-1176.000,-196.000,-6076.000
2026-09-18T08:11:13,df6470a31b8a2f2e,-1078.000,-98.000,-6076.000
2026-09-18T08:11:14,df6470a31b8a2f2e,-1176.000,-98.000,-5978.000
2026-09-18T08:11:15,df6470a31b8a2f2e,-1078.000,-294.000,-5978.000
2026-09-18T08:11:16,df6470a31b8a2f2e,-1078.000,-196.000,-5978.000
2026-09-18T08:11:17,df6470a31b8a2f2e,-1078.000,-392.000,-6076.000
2026-09-18T08:11:18,df6470a31b8a2f2e,-1274.000,-392.000,-6174.000
2026-09-18T08:11:19,df6470a31b8a2f2e,-1176.000,-196.000,-6076.000
2026-09-18T08:11:20,df6470a31b8a2f2e,-1078.000,0.000,-6174.000
2026-09-18T08:11:21,df6470a31b8a2f2e,-1176.000,0.000,-6076.000
2026-09-18T08:11:22,df6470a31b8a2f2e,-980.000,-196.000,-6076.000
2026-09-18T08:11:23,df6470a31b8a2f2e,-1176.000,-294.000,-6076.000
2026-09-18T08:11:24,df6470a31b8a2f2e,-980.000,-294.000,-5978.000
2026-09-18T08:11:25,df6470a31b8a2f2e,-1274.000,-294.000,-6076.000
2026-09-18T08:11:26,df6470a31b8a2f2e,-1176.000,-294.000,-6076.000
2026-09-18T08:11:27,df6470a31b8a2f2e,-1078.000,-196.000,-6076.000
2026-09-18T08:11:28,df6470a31b8a2f2e,-882.000,-196.000,-6174.000
2026-09-18T08:11:29,df6470a31b8a2f2e,-1274.000,-196.000,-5880.000
2026-09-18T08:11:30,df6470a31b8a2f2e,-1274.000,-196.000,-6076.000
