,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
,12,-10.5932623655581,-16.4043958677667,-13.6577241114092,-15.1842581565779,-14.5411603552739,-13.6164003658869,-10.2112052714556,-12.6009517966504,-18.7477204204533,-18.0905562894131,-19.7821630887474,-17.9424099909875,-24.9357442612936,-19.0401833831493,-10.684958447041,-6.35236548777448,-8.93912119110792,-11.5264791050977,-4.42572402852693,-9.40134906090043,-13.8109892659586,-15.5272390783057,-12.9241562845946,-16.2611377631947,-8.02484957894103,-2.62544561929735,-12.1622055108028,-6.05320680646128,-15.1541747459196,-9.94866201933382,-13.2762701816355,-12.4898290315423,2.80375955566524,6.61147518862435
,13,-25.423565050588,-12.9965895398391,-21.5969320776112,-22.6642718229341,-18.7572009060814,-19.3479801691992,-13.9555304454279,-10.0072601892307,-26.7289944610948,-24.5129121962709,-20.6810342405242,-21.7059060470674,-20.218905755386,-19.8763431242123,-13.1912818721557,-7.45579938869378,-14.8411261601395,-10.796299019853,-2.21098510018965,-7.08132274044056,-14.2612547647977,-13.4162587295104,-16.4433250187622,-17.9881617147621,-13.1398501867116,-8.36373401593119,-16.8625765744955,-12.7600788141826,-18.8287322432989,-18.1785534968221,-21.9785894290926,-26.1336235231884,-0.000434929773291515,2.16366761498466
,14,-25.603045618077,-27.072838935188,-24.023936466323,-23.331206848994,-23.8260416287976,-27.8906567857975,-10.5559871040687,-16.6686759637078,-32.8666223587661,-28.6978060492229,-27.3230248947257,-27.4777009461332,-22.1279111869608,-22.0000376322914,-18.6272619241408,-10.8580104567245,-20.3469084235949,-19.9928190182682,-15.5091689360434,-7.67886332778289,-19.6267143459872,-20.322353130231,-22.2346493195582,-18.3584899378056,-17.9509090467363,-14.3743119986439,-22.5590557947207,-16.0295168267803,-18.7510903172397,-16.9777170178359,-27.6148055230506,-24.466847121952,0.484033818715943,-3.35883162915343
,15,-24.9325208532127,-28.597305759894,-28.5467680774573,-27.9603656928248,-23.9020627067912,-22.6965040621335,-15.117941797228,-16.419018887711,-36.1691272054632,-31.0464905197414,-33.6289654256743,-30.9278026749562,-24.2522742929568,-29.1376884562851,-28.6568520987357,-12.2266723622915,-23.2662218586565,-22.1447845863577,-14.7570863152232,-12.7644216390236,-24.5885195897736,-27.2736412614349,-27.6627165096661,-30.5683395381247,-19.4140544753564,-16.1826466325483,-23.2258995449793,-18.833066590918,-23.755772890242,-24.960689559095,-26.772445079464,-27.8944920579588,1.31912796758752,-0.8677520858555
,16,-40.7879144115741,-36.3118196325004,-37.8257788837373,-39.9762003728902,-30.7871913343861,-26.5856005297692,-25.132118243293,-26.5668380637244,-45.5017879434381,-41.7017684380889,-41.7718319469832,-42.473762248108,-30.3059846394654,-37.7837846420462,-38.6959789307875,-25.9380131428525,-38.3182980294177,-30.0776244370027,-25.6497573210872,-23.9206913682929,-29.0606746438389,-28.0410757165291,-37.4799665429664,-36.6342000511604,-29.6189296372459,-20.5655021902912,-28.5957585421729,-18.5162628579756,-25.7850969220244,-28.614426331028,-36.2497766029119,-35.8671129475342,-4.40337523821472,-2.63117450853679
,17,-33.4658665998077,-34.8398698753372,-33.63252871231,-30.5252224748147,-22.8707253621569,-23.9983629058734,-26.2376010922117,-23.1234791702027,-31.5821284489321,-34.7566470791335,-42.0042253138872,-32.7360188924595,-26.3567777428752,-32.7459774588751,-33.185040277086,-15.8569677946189,-31.9843423402217,-25.5928491203931,-13.1304684832894,-18.1998536876263,-27.1609060267338,-29.4455262442862,-29.5235622961227,-27.5438336997686,-22.7983384431109,-14.5378456240906,-20.7835677982566,-14.3899480066475,-21.1130714749115,-22.7927262245057,-33.7782882626798,-34.1821981270978,-0.152560666308091,0.857870050850579
,18,-30.7128672440067,-31.5188740382064,-28.417215525239,-27.2193445585581,-8.08200148897595,-8.3967249527941,-20.8786150438536,-24.4975079235437,-29.237161782894,-28.1186650958953,-28.842323692239,-28.0411470618592,-22.4269592036644,-26.6232402221494,-31.2300250131857,-13.4862894417693,-29.9542245540551,-28.6993128673248,-18.2222876076803,-14.114634012868,-9.76446130361364,-2.51926354050465,-28.1077968621794,-26.0322728933397,-22.5849485946264,-18.6542529168328,0.753145377613691,-7.15366507440012,-11.5407699603647,-7.73089891552081,-27.2233540581256,-29.9240264481041,1.33352457972887,-4.40129532825995
,19,-26.4020922623067,-29.3526549288954,-11.1148126112239,-9.39165716774278,28.8397835416108,29.0487772952019,-19.1564593102994,-19.1874312406917,-9.63492687720554,-16.452936068803,-9.70666082134994,-14.6487058395433,-9.24817101424196,-9.63420171522102,-29.3216212910074,-8.20327976339922,-29.575490473324,-29.1302236608908,-8.64833098759573,-7.98628109809033,28.8482959667936,25.5839024605848,-7.35823752146916,-6.90987026959647,-22.5800952407008,-19.9669036456553,22.5298421651014,14.3411612292948,25.9626338610406,27.1885823769799,-12.3943076187397,-11.9345004531087,0.153412884890713,-4.84439928504617
,20,1.61353233162481,-4.9252263202261,35.8758954244022,34.9277241647005,101.329844107336,96.9470900402202,-5.55169660779211,-7.67284278556144,41.4558942512012,41.7333711364163,36.1983236876913,37.0838500836162,31.805182556096,32.4803410486484,-6.18129436323306,16.3254335944393,-6.09796829548941,-5.06946393222916,21.8698982899459,18.9272011843941,98.5819414475745,96.0105626903005,35.085578954433,31.7750908667667,-1.25836733162214,-4.72406003973811,83.1087618779566,73.992769830098,96.7074644201975,92.6407478935535,35.8070537173198,36.4550814032036,1.28580828417125,-0.160570552156059
,21,42.6621322590699,38.6623006834188,134.994068998282,133.768006927125,277.765973219682,259.534018605205,28.2288187458316,29.5364942622882,149.024656009994,143.969891082491,152.019929191503,147.228129618639,133.687849334646,130.546379228008,38.0521582873816,71.4315539323243,38.4893819640838,35.8531763111414,74.0343369352531,74.0759617763815,262.874332882775,247.676631138609,122.329312803507,119.562673047089,28.5566886542656,20.7735003520374,219.901189729484,202.113790330289,254.501889399936,258.868498054866,134.318801369017,133.629270066462,-6.50846944931345,-4.43207891169277
