,Cycle,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
,13,-8.8583721926525,-8.66234124947914,-9.53734213407824,-12.0402788952824,-12.4903110744381,-15.3083573035929,-7.75942336798107,-12.3033248023512,-7.60070900542451,-12.9723470289491,-9.12280977158116,-9.88666797903807,-14.4130643922954,-15.0925832316489,-15.506114397117,-10.4693326734523,-15.4956707330412,-15.5591368535943,-9.4647585310704,-14.2777247467347,-10.2234378438752,-14.0456331304031,-16.0931999532204,-4.79232366194265,-7.12252340744908,-7.72012231039298,-14.2747382171083,-12.0048972044924,-12.4930351898875,-14.2206731812885,-12.4354437987922,-11.651417509981,-6.25734512477993,-2.35240796026301
,14,-14.1992527272641,-13.2618980665875,-11.5425829587648,-9.66670796914241,-15.9920000000793,-13.6100895304817,-14.721703090675,-14.1772071589421,-17.2439281590869,-10.1547082805973,-15.3447208742164,-9.40927738568826,-16.8735174928624,-19.2642681622647,-18.8298889778735,-14.1652507273629,-17.898501433714,-15.6267275850414,-19.9256482003966,-12.8759110388401,-16.8568592081474,-16.190243602583,-20.9923972368433,-9.12234705975425,-11.0397899270229,-7.10965866192782,-15.9458466331907,-15.2364702212844,-17.4013862529728,-13.8420121465779,-14.8272930607536,-12.8314919685317,1.11557966930559,0.918105176982863
,15,-18.6523659288514,-18.3543982699348,-15.8534652695034,-13.2955025786787,-21.4071042963824,-19.8069086330461,-21.0045304494379,-18.3050129718577,-20.1207549737946,-19.1639376811409,-17.784296525645,-18.680709326949,-22.8765672193995,-21.3263333734776,-22.9470678137404,-18.9185375375764,-23.2927434204094,-18.567592404921,-26.1575202344929,-28.3756678621021,-20.9705491131717,-20.628194699194,-24.2274111206088,-9.19798331409038,-13.1208429114986,-12.8029695617724,-22.0021535945671,-18.6831216597348,-21.7903383587327,-19.3858251234442,-19.0651366341417,-21.8133805041371,-1.7208359680053,-4.77256076374488
,16,-17.0303337004507,-15.2544796153834,-14.8660398912507,-16.398760314275,-23.1517472221158,-24.5964409826347,-16.7151416882998,-23.8645033138855,-26.8110162364374,-22.7689730051652,-20.1711717942253,-19.6801853229181,-23.6579198309319,-22.8204083520286,-22.1592374938618,-16.6363670282863,-25.9636616915677,-23.4266413640689,-22.120689071905,-20.1808967558381,-24.5313762879578,-23.5929838596576,-29.7226712612837,-10.1021806240315,-15.9909327359583,-11.0270241274602,-24.5324370355511,-26.1808456010058,-26.138301441606,-21.5500033477892,-21.1330065109369,-24.8006390496776,0.887444316299479,-5.05756877322892
,17,-17.4377720329394,-15.9838329873664,-16.7215997241592,-16.9406939346754,-24.7813240595433,-26.6937565994567,-13.5875664396381,-24.379548476154,-19.9463527385233,-11.2413457514012,-15.3159600226845,-17.2515451591607,-26.8760901184132,-22.1491348831396,-25.2013522701473,-18.564237345985,-25.0092220641,-22.2266394727658,-24.5020657060895,-16.5758233794377,-24.4003754695959,-18.7501800711416,-29.0399670690331,-9.72153905097457,-10.0016444381927,-10.0960347387054,-17.9143019946405,-27.0929713337555,-20.8787195655195,-20.9565310673497,-19.6935240667381,-17.3898174346523,6.80590911851777,5.98965613694418
,18,-16.7869752737961,-19.9946514937355,-18.6122837409157,-20.132352269864,-30.8244317083072,-31.9664247463388,-12.1890484933765,-26.9659804312578,-23.3472704413671,-18.1059696337943,-17.17477366802,-24.9825270144866,-33.2040812265805,-30.1247512796836,-27.672088894582,-27.7072057527384,-31.5570378699831,-33.4354344050889,-24.4454041358576,-27.2086031504114,-29.9433082482456,-33.2708775307474,-33.3493639969893,-13.8831958479814,-11.002444419737,-11.5914302590581,-25.9791435707421,-36.2971894998718,-30.0904150093484,-28.44515677237,-29.2146755808126,-23.9891682573634,1.64432596068218,1.98535675963285
,19,-25.5274107536025,-25.1149715312267,-29.3429917946714,-28.036535854274,-33.0442812371848,-33.4583253788205,-25.2444794019239,-33.0140852034474,-32.1433401952127,-25.4741464448343,-21.3265200101405,-29.2709640179755,-35.2518701001454,-40.1966784984143,-36.5529592204011,-23.336762292578,-40.3970315444349,-33.9445752298598,-33.3359718125357,-31.5073338201983,-32.4427292892096,-33.4389580736124,-40.3725283146696,-14.4989311706977,-13.7161062249015,-19.2855268340109,-28.2756374941491,-40.364426322305,-33.5074824714929,-33.8309889235807,-27.2872279114554,-31.8684544688149,-0.943537747019036,-5.95502918506463
,20,-24.4182265881118,-28.6674583747372,-26.5925532913679,-28.7980566731585,-34.0281877498892,-35.8948961203541,-17.6813413344171,-33.9081555987541,-27.3269331813399,-28.5263184422638,-29.2756911125634,-37.7797099302188,-38.1636705281153,-39.5481060617121,-32.2273923950397,-29.8515974983166,-36.5472936488613,-37.8316015705295,-34.7291973573001,-32.4516292272838,-42.8155276992002,-39.019719445846,-43.1986277654432,-19.4132123773352,-18.3477439026519,-19.9030420872405,-26.5069610166338,-43.6139409351581,-33.844872534416,-32.8804956986032,-28.5655717233121,-38.1035982223457,-5.04231679721215,-4.40041528879465
,21,-24.4558307075249,-22.9283077821174,-24.8587421884658,-24.829980920249,-22.5479149221619,-21.2261861537254,-9.58300117243743,-33.1331007973895,-26.1056712187146,-25.8096565612077,-18.3713784029715,-31.0779407064983,-47.0622104131999,-43.4400013171571,-34.2442961389916,-25.2593346652402,-36.2229195679492,-39.2754380507313,-34.1662147114685,-35.0680917169248,-35.6883512494815,-39.7407960207956,-41.6242741926826,-11.5891478887997,-22.0363495959991,-18.6299889517622,-24.280343837434,-36.8746000127885,-28.9660249975323,-23.6209452602625,-29.4537377616343,-28.8118411546011,2.76927915782017,-0.348219815973607
,22,-11.8982894806995,-15.2815209759092,-17.2870969741343,-16.2594543740324,0.871395108290926,-1.04816704309633,3.95946622465453,-17.1464229670892,-14.8754734104114,-11.890331561528,-9.70352947495667,-18.6824241527693,-38.1308938957782,-39.5597413387113,-17.3002018555662,-12.315841908965,-28.7334787087948,-27.9910432090182,-29.1582131733594,-27.8875482300182,-35.111658363985,-32.0315374977108,-32.7362957658397,-4.39769816360422,-13.0497775372969,-18.5415279527942,-10.7729083703443,-30.7915438686778,-19.3940386500753,-23.0930595852096,-27.6202433966109,-28.7646383393367,3.29639566608239,3.21478726619443
